fid1	Id1	fid2	Id2	ibd
tsk_0	tsk_0	tsk_566	tsk_566	0.12406555932972525
tsk_0	tsk_0	tsk_572	tsk_572	0.06625336171746224
tsk_0	tsk_0	tsk_575	tsk_575	0.03459949682680565
tsk_0	tsk_0	tsk_577	tsk_577	0.03836929175369872
tsk_0	tsk_0	tsk_581	tsk_581	0.048464787886472384
tsk_0	tsk_0	tsk_590	tsk_590	0.13915675112947035
tsk_0	tsk_0	tsk_598	tsk_598	0.049890222824309806
tsk_0	tsk_0	tsk_614	tsk_614	0.049890222824309806
tsk_0	tsk_0	tsk_624	tsk_624	0.11532275824329825
tsk_0	tsk_0	tsk_647	tsk_647	0.07620671475952459
tsk_0	tsk_0	tsk_659	tsk_659	0.0873405895267903
tsk_0	tsk_0	tsk_664	tsk_664	0.33135289524788286
tsk_0	tsk_0	tsk_668	tsk_668	0.12693111065138907
tsk_0	tsk_0	tsk_673	tsk_673	0.13915675112947035
tsk_0	tsk_0	tsk_674	tsk_674	0.08709100494497794
tsk_0	tsk_0	tsk_682	tsk_682	0.03971998478468325
tsk_0	tsk_0	tsk_685	tsk_685	0.10826899078405595
tsk_0	tsk_0	tsk_693	tsk_693	0.06598642633584476
tsk_0	tsk_0	tsk_696	tsk_696	0.03971998478468325
tsk_0	tsk_0	tsk_698	tsk_698	0.048464787886472384
tsk_0	tsk_0	tsk_713	tsk_713	0.034980547084064624
tsk_0	tsk_0	tsk_714	tsk_714	0.12711729808006728
tsk_0	tsk_0	tsk_716	tsk_716	0.12693111065138907
tsk_0	tsk_0	tsk_718	tsk_718	0.03836929175369872
tsk_0	tsk_0	tsk_724	tsk_724	0.12683301189864463
tsk_0	tsk_0	tsk_726	tsk_726	0.069209671068876
tsk_0	tsk_0	tsk_727	tsk_727	0.10350219220682154
tsk_0	tsk_0	tsk_729	tsk_729	0.03836929175369872
tsk_0	tsk_0	tsk_738	tsk_738	0.1924504000694032
tsk_0	tsk_0	tsk_748	tsk_748	0.043025312147561875
tsk_0	tsk_0	tsk_761	tsk_761	0.11168643100721393
tsk_0	tsk_0	tsk_768	tsk_768	0.03872031178052573
tsk_0	tsk_0	tsk_771	tsk_771	0.048464787886472384
