p1	p2	dcifer
SPT35752	SPT35363	0.02
SPT35752	SPT35389	0
SPT35752	SPT35425	0
SPT35752	SPT35435	0
SPT35752	SPT35443	0.015
SPT35752	SPT35447	0.001
SPT35752	SPT35448	0
SPT35752	SPT35449	0
SPT35752	SPT35458	0
SPT35752	SPT35461	0
SPT35752	SPT35462	0
SPT35752	SPT35463	0.018
SPT35752	SPT35487	0
SPT35752	SPT35501	0.008
SPT35752	SPT35510	0
SPT35752	SPT35511	0
SPT35752	SPT35514	0
SPT35752	SPT35515	0
SPT35752	SPT35516	0
SPT35752	SPT35517	0
SPT35752	SPT35518	0.007
SPT35752	SPT35519	0.01
SPT35752	SPT35520	0.003
SPT35752	SPT35521	0
SPT35752	SPT35522	0
SPT35752	SPT35523	0
SPT35752	SPT35524	0
SPT35752	SPT35525	0
SPT35752	SPT35526	0
SPT35752	SPT35529	0
SPT35752	SPT35532	0
SPT35752	SPT35537	0
SPT35752	SPT35538	0
SPT35752	SPT35541	0
SPT35752	SPT35543	0
SPT35752	SPT35544	0.015
SPT35752	SPT35546	0.005
SPT35752	SPT35547	0
SPT35752	SPT35552	0
SPT35752	SPT35553	0.019
SPT35752	SPT35557	0.006
SPT35752	SPT35561	0
SPT35752	SPT35563	0
SPT35752	SPT35567	0
SPT35752	SPT35576	0
SPT35752	SPT35577	0.012
SPT35752	SPT35580	0
SPT35752	SPT35583	0.012
SPT35752	SPT35584	0
SPT35752	SPT35585	0
SPT35752	SPT35302	0
SPT35752	SPT35303	0
SPT35752	SPT35304	0
SPT35752	SPT35306	0
SPT35752	SPT35308	0
SPT35752	SPT35310	0
SPT35752	SPT35315	0.011
SPT35752	SPT35325	0
SPT35752	SPT35336	0.004
SPT35752	SPT35337	0
SPT35752	SPT35338	0.012
SPT35752	SPT35340	0
SPT35752	SPT35348	0.012
SPT35752	SPT35349	0
SPT35752	SPT35354	0
SPT35752	SPT35356	0.012
SPT35752	SPT35357	0.008
SPT35752	SPT35360	0
SPT35752	SPT35365	0
SPT35752	SPT35366	0
SPT35752	SPT35368	0
SPT35752	SPT35369	0
SPT35752	SPT35370	0
SPT35752	SPT35373	0
SPT35752	SPT35377	0
SPT35752	SPT35378	0
SPT35752	SPT35379	0
SPT35752	SPT35382	0
SPT35752	SPT35384	0.005
SPT35752	SPT35390	0
SPT35752	SPT35407	0
SPT35752	SPT35410	0
SPT35752	SPT35414	0
SPT35752	SPT35417	0
SPT35752	SPT35418	0
SPT35752	SPT35419	0
SPT35752	SPT35423	0
SPT35752	SPT35436	0.029
SPT35752	SPT35444	0.006
SPT35752	SPT35316	0
SPT35752	SPT35331	0
SPT35752	SPT35339	0.002
SPT35752	SPT35364	0
SPT35752	SPT35372	0.011
SPT35752	SPT35405	0
SPT35752	SPT35424	0.01
SPT35752	SPT35427	0.005
SPT35752	SPT35437	0
SPT35752	SPT35440	0.003
SPT35752	SPT35467	0
SPT35752	SPT35468	0
SPT35752	SPT35470	0
SPT35752	SPT35472	0.021
SPT35752	SPT35475	0
SPT35752	SPT35476	0
SPT35752	SPT35485	0
SPT35752	SPT35499	0
SPT35752	SPT35780	0.023
SPT35334	SPT35469	0
SPT35334	SPT35332	0
SPT35334	SPT35351	0.139
SPT35334	SPT35355	0
SPT35334	SPT35420	0
SPT35334	SPT35502	0
SPT35334	SPT35412	0
SPT35334	SPT35446	0
SPT35334	SPT35450	0
SPT35334	SPT35474	0.011
SPT35334	SPT35503	0
SPT35334	SPT35571	0
SPT35334	SPT35575	0
SPT35334	SPT35592	0.003
SPT35334	SPT35766	0.016
SPT35334	SPT35500	0
SPT35334	SPT35508	0
SPT35334	SPT35313	0
SPT35334	SPT35328	0
SPT35334	SPT35330	0
SPT35334	SPT35362	0
SPT35334	SPT35430	0
SPT35334	SPT35431	0
SPT35334	SPT35453	0
SPT35334	SPT35317	0.053
SPT35334	SPT35318	0.028
SPT35334	SPT35320	0
SPT35334	SPT35321	0
SPT35334	SPT35322	0.011
SPT35334	SPT35333	0
SPT35334	SPT35341	0.179
SPT35334	SPT35342	0.045
SPT35334	SPT35346	0.018
SPT35334	SPT35347	0.001
SPT35334	SPT35352	0.015
SPT35334	SPT35361	0
SPT35334	SPT35363	0
SPT35334	SPT35389	0
SPT35334	SPT35425	0
SPT35334	SPT35435	0
SPT35334	SPT35443	0
SPT35334	SPT35447	0
SPT35334	SPT35448	0
SPT35334	SPT35449	0
SPT35334	SPT35458	0
SPT35334	SPT35461	0
SPT35334	SPT35462	0.001
SPT35334	SPT35463	0
SPT35334	SPT35487	0
SPT35334	SPT35501	0
SPT35334	SPT35510	0
SPT35334	SPT35511	0
SPT35334	SPT35514	0
SPT35334	SPT35515	0
SPT35334	SPT35516	0
SPT35334	SPT35517	0
SPT35334	SPT35518	0
SPT35334	SPT35519	0
SPT35334	SPT35520	0
SPT35334	SPT35521	0
SPT35334	SPT35522	0.009
SPT35334	SPT35523	0
SPT35334	SPT35524	0
SPT35334	SPT35525	0
SPT35334	SPT35526	0
SPT35334	SPT35529	0
SPT35334	SPT35532	0
SPT35334	SPT35537	0
SPT35334	SPT35538	0
SPT35334	SPT35541	0
SPT35334	SPT35543	0
SPT35334	SPT35544	0.006
SPT35334	SPT35546	0
SPT35334	SPT35547	0
SPT35334	SPT35552	0
SPT35334	SPT35553	0
SPT35334	SPT35557	0
SPT35334	SPT35561	0
SPT35334	SPT35563	0
SPT35334	SPT35567	0
SPT35334	SPT35576	0
SPT35334	SPT35577	0
SPT35334	SPT35580	0
SPT35334	SPT35583	0
SPT35334	SPT35584	0
SPT35334	SPT35585	0.022
SPT35334	SPT35302	0
SPT35334	SPT35303	0
SPT35334	SPT35304	0
SPT35334	SPT35306	0
SPT35334	SPT35308	0
SPT35334	SPT35310	0
SPT35334	SPT35315	0.036
SPT35334	SPT35325	0
SPT35334	SPT35336	0.034
SPT35334	SPT35337	1
SPT35334	SPT35338	0
SPT35334	SPT35340	0
SPT35334	SPT35348	0.018
SPT35334	SPT35349	0
SPT35334	SPT35354	0.042
SPT35334	SPT35356	0.001
SPT35334	SPT35357	0.011
SPT35334	SPT35360	0
SPT35334	SPT35365	0.041
SPT35334	SPT35366	0
SPT35334	SPT35368	0
SPT35334	SPT35369	0.025
SPT35334	SPT35370	0
SPT35334	SPT35373	0
SPT35334	SPT35377	0
SPT35334	SPT35378	0.033
SPT35334	SPT35379	0.003
SPT35334	SPT35382	0
SPT35334	SPT35384	0.038
SPT35334	SPT35390	0
SPT35334	SPT35407	0.012
SPT35334	SPT35410	0
SPT35334	SPT35414	0
SPT35334	SPT35417	0
SPT35334	SPT35418	0.014
SPT35334	SPT35419	0
SPT35334	SPT35423	0
SPT35334	SPT35436	0
SPT35334	SPT35444	0
SPT35334	SPT35316	0.059
SPT35334	SPT35331	0
SPT35334	SPT35339	0
SPT35334	SPT35364	0
SPT35334	SPT35372	0.004
SPT35334	SPT35405	0
SPT35334	SPT35424	0
SPT35334	SPT35427	0
SPT35334	SPT35437	0
SPT35334	SPT35440	0
SPT35334	SPT35467	0
SPT35334	SPT35468	0
SPT35334	SPT35470	0.018
SPT35334	SPT35472	0
SPT35334	SPT35475	0
SPT35334	SPT35476	0
SPT35334	SPT35485	0
SPT35334	SPT35499	0
SPT35334	SPT35780	0
SPT35469	SPT35332	0
SPT35469	SPT35351	0
SPT35469	SPT35355	0
SPT35469	SPT35420	0
SPT35469	SPT35502	0
SPT35469	SPT35412	0
SPT35469	SPT35446	0
SPT35469	SPT35450	0
SPT35469	SPT35474	0
SPT35469	SPT35503	0
SPT35469	SPT35571	0
SPT35469	SPT35575	0
SPT35469	SPT35592	0
SPT35469	SPT35766	0
SPT35469	SPT35500	0
SPT35469	SPT35508	0
SPT35469	SPT35313	0
SPT35469	SPT35328	0
SPT35469	SPT35330	0
SPT35469	SPT35362	0
SPT35469	SPT35430	0
SPT35469	SPT35431	0
SPT35469	SPT35453	0
SPT35469	SPT35317	0
SPT35469	SPT35318	0
SPT35469	SPT35320	0
SPT35469	SPT35321	0
SPT35469	SPT35322	0
SPT35469	SPT35333	0
SPT35469	SPT35341	0
SPT35469	SPT35342	0
SPT35469	SPT35346	0
SPT35469	SPT35347	0
SPT35469	SPT35352	0
SPT35469	SPT35361	0
SPT35469	SPT35363	0
SPT35469	SPT35389	0
SPT35469	SPT35425	0
SPT35469	SPT35435	0.667
SPT35469	SPT35443	0
SPT35469	SPT35447	0
SPT35469	SPT35448	0.818
SPT35469	SPT35449	0
SPT35469	SPT35458	0
SPT35469	SPT35461	0
SPT35469	SPT35462	0
SPT35469	SPT35463	0
SPT35469	SPT35487	0.994
SPT35469	SPT35501	0
SPT35469	SPT35510	0
SPT35469	SPT35511	0
SPT35469	SPT35514	0.672
SPT35469	SPT35515	0.786
SPT35469	SPT35516	0.683
SPT35469	SPT35517	0.67
SPT35469	SPT35518	0
SPT35469	SPT35519	0
SPT35469	SPT35520	0
SPT35469	SPT35521	0
SPT35469	SPT35522	0
SPT35469	SPT35523	0.892
SPT35469	SPT35524	0
SPT35469	SPT35525	0
SPT35469	SPT35526	0
SPT35469	SPT35529	0
SPT35469	SPT35532	0.85
SPT35469	SPT35537	0
SPT35469	SPT35538	0
SPT35469	SPT35541	0
SPT35469	SPT35543	0
SPT35469	SPT35544	0
SPT35469	SPT35546	0
SPT35469	SPT35547	0
SPT35469	SPT35552	0
SPT35469	SPT35553	0
SPT35469	SPT35557	0
SPT35469	SPT35561	0
SPT35469	SPT35563	0
SPT35469	SPT35567	0
SPT35469	SPT35576	0
SPT35469	SPT35577	0
SPT35469	SPT35580	0
SPT35469	SPT35583	0
SPT35469	SPT35584	0
SPT35469	SPT35585	0
SPT35469	SPT35302	0
SPT35469	SPT35303	0
SPT35469	SPT35304	0
SPT35469	SPT35306	0
SPT35469	SPT35308	0
SPT35469	SPT35310	0
SPT35469	SPT35315	0
SPT35469	SPT35325	0
SPT35469	SPT35336	0
SPT35469	SPT35337	0
SPT35469	SPT35338	0
SPT35469	SPT35340	0
SPT35469	SPT35348	0
SPT35469	SPT35349	0
SPT35469	SPT35354	0
SPT35469	SPT35356	0
SPT35469	SPT35357	0
SPT35469	SPT35360	0
SPT35469	SPT35365	0
SPT35469	SPT35366	0
SPT35469	SPT35368	0
SPT35469	SPT35369	0
SPT35469	SPT35370	0
SPT35469	SPT35373	0
SPT35469	SPT35377	0
SPT35469	SPT35378	0
SPT35469	SPT35379	0
SPT35469	SPT35382	0
SPT35469	SPT35384	0
SPT35469	SPT35390	0
SPT35469	SPT35407	0
SPT35469	SPT35410	0
SPT35469	SPT35414	0
SPT35469	SPT35417	0
SPT35469	SPT35418	0
SPT35469	SPT35419	0
SPT35469	SPT35423	0
SPT35469	SPT35436	0
SPT35469	SPT35444	0
SPT35469	SPT35316	0
SPT35469	SPT35331	0
SPT35469	SPT35339	0
SPT35469	SPT35364	0
SPT35469	SPT35372	0
SPT35469	SPT35405	0
SPT35469	SPT35424	0
SPT35469	SPT35427	0
SPT35469	SPT35437	0.276
SPT35469	SPT35440	0
SPT35469	SPT35467	0
SPT35469	SPT35468	0.664
SPT35469	SPT35470	0
SPT35469	SPT35472	0
SPT35469	SPT35475	0
SPT35469	SPT35476	0.613
SPT35469	SPT35485	0
SPT35469	SPT35499	0
SPT35469	SPT35780	0
SPT35332	SPT35351	0
SPT35332	SPT35355	0
SPT35332	SPT35420	0.009
SPT35332	SPT35502	0
SPT35332	SPT35412	0
SPT35332	SPT35446	0.003
SPT35332	SPT35450	0
SPT35332	SPT35474	0
SPT35332	SPT35503	0
SPT35332	SPT35571	0
SPT35332	SPT35575	0
SPT35332	SPT35592	0
SPT35332	SPT35766	0.011
SPT35332	SPT35500	0
SPT35332	SPT35508	0.005
SPT35332	SPT35313	0
SPT35332	SPT35328	0
SPT35332	SPT35330	0
SPT35332	SPT35362	0
SPT35332	SPT35430	0.018
SPT35332	SPT35431	0.001
SPT35332	SPT35453	0.001
SPT35332	SPT35317	0.002
SPT35332	SPT35318	0
SPT35332	SPT35320	0
SPT35332	SPT35321	0.007
SPT35332	SPT35322	0
SPT35332	SPT35333	0
SPT35332	SPT35341	0
SPT35332	SPT35342	0
SPT35332	SPT35346	0
SPT35332	SPT35347	0
SPT35332	SPT35352	0.001
SPT35332	SPT35361	0
SPT35332	SPT35363	0
SPT35332	SPT35389	0
SPT35332	SPT35425	0.026
SPT35332	SPT35435	0
SPT35332	SPT35443	0
SPT35332	SPT35447	0.001
SPT35332	SPT35448	0
SPT35332	SPT35449	0
SPT35332	SPT35458	0
SPT35332	SPT35461	0
SPT35332	SPT35462	0
SPT35332	SPT35463	0.027
SPT35332	SPT35487	0
SPT35332	SPT35501	0
SPT35332	SPT35510	0
SPT35332	SPT35511	0
SPT35332	SPT35514	0
SPT35332	SPT35515	0
SPT35332	SPT35516	0
SPT35332	SPT35517	0
SPT35332	SPT35518	0
SPT35332	SPT35519	0.004
SPT35332	SPT35520	0.017
SPT35332	SPT35521	0
SPT35332	SPT35522	0.003
SPT35332	SPT35523	0
SPT35332	SPT35524	0.004
SPT35332	SPT35525	0
SPT35332	SPT35526	0
SPT35332	SPT35529	0
SPT35332	SPT35532	0
SPT35332	SPT35537	0
SPT35332	SPT35538	0
SPT35332	SPT35541	0.002
SPT35332	SPT35543	0
SPT35332	SPT35544	0.003
SPT35332	SPT35546	0
SPT35332	SPT35547	0
SPT35332	SPT35552	0.012
SPT35332	SPT35553	0.01
SPT35332	SPT35557	0.013
SPT35332	SPT35561	0
SPT35332	SPT35563	0.011
SPT35332	SPT35567	0.013
SPT35332	SPT35576	0
SPT35332	SPT35577	0
SPT35332	SPT35580	0.005
SPT35332	SPT35583	0
SPT35332	SPT35584	0.001
SPT35332	SPT35585	0
SPT35332	SPT35302	0
SPT35332	SPT35303	0
SPT35332	SPT35304	0
SPT35332	SPT35306	0
SPT35332	SPT35308	0
SPT35332	SPT35310	0
SPT35332	SPT35315	0
SPT35332	SPT35325	0.996
SPT35332	SPT35336	0.004
SPT35332	SPT35337	0
SPT35332	SPT35338	0.001
SPT35332	SPT35340	0
SPT35332	SPT35348	0
SPT35332	SPT35349	0
SPT35332	SPT35354	0
SPT35332	SPT35356	0
SPT35332	SPT35357	0
SPT35332	SPT35360	0
SPT35332	SPT35365	0
SPT35332	SPT35366	0
SPT35332	SPT35368	0.007
SPT35332	SPT35369	0
SPT35332	SPT35370	0
SPT35332	SPT35373	0.006
SPT35332	SPT35377	0
SPT35332	SPT35378	0.009
SPT35332	SPT35379	0
SPT35332	SPT35382	0
SPT35332	SPT35384	0.006
SPT35332	SPT35390	0
SPT35332	SPT35407	0
SPT35332	SPT35410	0
SPT35332	SPT35414	0
SPT35332	SPT35417	0
SPT35332	SPT35418	0.004
SPT35332	SPT35419	0
SPT35332	SPT35423	0
SPT35332	SPT35436	0.001
SPT35332	SPT35444	0
SPT35332	SPT35316	0
SPT35332	SPT35331	0
SPT35332	SPT35339	0.008
SPT35332	SPT35364	0.001
SPT35332	SPT35372	0
SPT35332	SPT35405	0
SPT35332	SPT35424	0
SPT35332	SPT35427	0
SPT35332	SPT35437	0
SPT35332	SPT35440	0
SPT35332	SPT35467	0
SPT35332	SPT35468	0
SPT35332	SPT35470	0
SPT35332	SPT35472	0
SPT35332	SPT35475	0
SPT35332	SPT35476	0
SPT35332	SPT35485	0
SPT35332	SPT35499	0
SPT35332	SPT35780	0
SPT35351	SPT35355	0
SPT35351	SPT35420	0
SPT35351	SPT35502	0
SPT35351	SPT35412	0
SPT35351	SPT35446	0
SPT35351	SPT35450	0.037
SPT35351	SPT35474	0
SPT35351	SPT35503	0
SPT35351	SPT35571	0
SPT35351	SPT35575	0
SPT35351	SPT35592	0
SPT35351	SPT35766	0
SPT35351	SPT35500	0
SPT35351	SPT35508	0
SPT35351	SPT35313	0
SPT35351	SPT35328	0
SPT35351	SPT35330	0
SPT35351	SPT35362	0
SPT35351	SPT35430	0
SPT35351	SPT35431	0.007
SPT35351	SPT35453	0
SPT35351	SPT35317	0.007
SPT35351	SPT35318	0
SPT35351	SPT35320	0.014
SPT35351	SPT35321	0.013
SPT35351	SPT35322	0
SPT35351	SPT35333	0.008
SPT35351	SPT35341	0.381
SPT35351	SPT35342	0.003
SPT35351	SPT35346	0
SPT35351	SPT35347	0
SPT35351	SPT35352	0
SPT35351	SPT35361	0
SPT35351	SPT35363	0
SPT35351	SPT35389	0.007
SPT35351	SPT35425	0.008
SPT35351	SPT35435	0
SPT35351	SPT35443	0
SPT35351	SPT35447	0
SPT35351	SPT35448	0
SPT35351	SPT35449	0
SPT35351	SPT35458	0
SPT35351	SPT35461	0
SPT35351	SPT35462	0
SPT35351	SPT35463	0
SPT35351	SPT35487	0
SPT35351	SPT35501	0
SPT35351	SPT35510	0
SPT35351	SPT35511	0
SPT35351	SPT35514	0
SPT35351	SPT35515	0
SPT35351	SPT35516	0
SPT35351	SPT35517	0
SPT35351	SPT35518	0
SPT35351	SPT35519	0.009
SPT35351	SPT35520	0
SPT35351	SPT35521	0
SPT35351	SPT35522	0
SPT35351	SPT35523	0
SPT35351	SPT35524	0
SPT35351	SPT35525	0
SPT35351	SPT35526	0
SPT35351	SPT35529	0
SPT35351	SPT35532	0
SPT35351	SPT35537	0
SPT35351	SPT35538	0
SPT35351	SPT35541	0
SPT35351	SPT35543	0
SPT35351	SPT35544	0
SPT35351	SPT35546	0
SPT35351	SPT35547	0
SPT35351	SPT35552	0
SPT35351	SPT35553	0
SPT35351	SPT35557	0
SPT35351	SPT35561	0
SPT35351	SPT35563	0
SPT35351	SPT35567	0
SPT35351	SPT35576	0
SPT35351	SPT35577	0
SPT35351	SPT35580	0
SPT35351	SPT35583	0
SPT35351	SPT35584	0
SPT35351	SPT35585	0
SPT35351	SPT35302	0
SPT35351	SPT35303	0.025
SPT35351	SPT35304	0.037
SPT35351	SPT35306	0.028
SPT35351	SPT35308	0.037
SPT35351	SPT35310	0.026
SPT35351	SPT35315	0.05
SPT35351	SPT35325	0
SPT35351	SPT35336	0.023
SPT35351	SPT35337	0.088
SPT35351	SPT35338	0
SPT35351	SPT35340	0.007
SPT35351	SPT35348	0.096
SPT35351	SPT35349	0
SPT35351	SPT35354	0
SPT35351	SPT35356	0.001
SPT35351	SPT35357	0
SPT35351	SPT35360	0
SPT35351	SPT35365	0.024
SPT35351	SPT35366	0.022
SPT35351	SPT35368	0
SPT35351	SPT35369	0
SPT35351	SPT35370	0
SPT35351	SPT35373	0.032
SPT35351	SPT35377	0.007
SPT35351	SPT35378	0
SPT35351	SPT35379	0
SPT35351	SPT35382	0.006
SPT35351	SPT35384	0.023
SPT35351	SPT35390	0
SPT35351	SPT35407	0
SPT35351	SPT35410	0
SPT35351	SPT35414	0
SPT35351	SPT35417	0
SPT35351	SPT35418	0
SPT35351	SPT35419	0
SPT35351	SPT35423	0.009
SPT35351	SPT35436	0
SPT35351	SPT35444	0
SPT35351	SPT35316	0.008
SPT35351	SPT35331	0
SPT35351	SPT35339	0
SPT35351	SPT35364	0
SPT35351	SPT35372	0.001
SPT35351	SPT35405	0
SPT35351	SPT35424	0
SPT35351	SPT35427	0
SPT35351	SPT35437	0
SPT35351	SPT35440	0
SPT35351	SPT35467	0
SPT35351	SPT35468	0
SPT35351	SPT35470	0
SPT35351	SPT35472	0
SPT35351	SPT35475	0
SPT35351	SPT35476	0
SPT35351	SPT35485	0
SPT35351	SPT35499	0
SPT35351	SPT35780	0.006
SPT35355	SPT35420	0.001
SPT35355	SPT35502	0
SPT35355	SPT35412	0
SPT35355	SPT35446	0
SPT35355	SPT35450	0.005
SPT35355	SPT35474	0
SPT35355	SPT35503	0
SPT35355	SPT35571	0
SPT35355	SPT35575	0
SPT35355	SPT35592	0.006
SPT35355	SPT35766	0
SPT35355	SPT35500	0
SPT35355	SPT35508	0
SPT35355	SPT35313	0
SPT35355	SPT35328	0.091
SPT35355	SPT35330	0
SPT35355	SPT35362	0.017
SPT35355	SPT35430	0
SPT35355	SPT35431	0.006
SPT35355	SPT35453	0
SPT35355	SPT35317	0.037
SPT35355	SPT35318	0
SPT35355	SPT35320	0.016
SPT35355	SPT35321	0
SPT35355	SPT35322	0.107
SPT35355	SPT35333	0
SPT35355	SPT35341	0
SPT35355	SPT35342	0.008
SPT35355	SPT35346	0
SPT35355	SPT35347	0.012
SPT35355	SPT35352	0
SPT35355	SPT35361	0
SPT35355	SPT35363	0
SPT35355	SPT35389	0
SPT35355	SPT35425	0
SPT35355	SPT35435	0
SPT35355	SPT35443	0
SPT35355	SPT35447	0
SPT35355	SPT35448	0
SPT35355	SPT35449	0
SPT35355	SPT35458	0
SPT35355	SPT35461	0
SPT35355	SPT35462	0
SPT35355	SPT35463	0
SPT35355	SPT35487	0
SPT35355	SPT35501	0
SPT35355	SPT35510	0
SPT35355	SPT35511	0
SPT35355	SPT35514	0
SPT35355	SPT35515	0
SPT35355	SPT35516	0
SPT35355	SPT35517	0
SPT35355	SPT35518	0.01
SPT35355	SPT35519	0.008
SPT35355	SPT35520	0
SPT35355	SPT35521	0
SPT35355	SPT35522	0
SPT35355	SPT35523	0
SPT35355	SPT35524	0
SPT35355	SPT35525	0
SPT35355	SPT35526	0
SPT35355	SPT35529	0
SPT35355	SPT35532	0
SPT35355	SPT35537	0
SPT35355	SPT35538	0
SPT35355	SPT35541	0.008
SPT35355	SPT35543	0
SPT35355	SPT35544	0
SPT35355	SPT35546	0
SPT35355	SPT35547	0
SPT35355	SPT35552	0
SPT35355	SPT35553	0.021
SPT35355	SPT35557	0
SPT35355	SPT35561	0.016
SPT35355	SPT35563	0
SPT35355	SPT35567	0
SPT35355	SPT35576	0
SPT35355	SPT35577	0
SPT35355	SPT35580	0.01
SPT35355	SPT35583	0
SPT35355	SPT35584	0
SPT35355	SPT35585	0
SPT35355	SPT35302	0
SPT35355	SPT35303	0
SPT35355	SPT35304	0.005
SPT35355	SPT35306	0.079
SPT35355	SPT35308	0.007
SPT35355	SPT35310	0.016
SPT35355	SPT35315	0
SPT35355	SPT35325	0
SPT35355	SPT35336	0.002
SPT35355	SPT35337	0
SPT35355	SPT35338	0.016
SPT35355	SPT35340	0
SPT35355	SPT35348	0
SPT35355	SPT35349	0
SPT35355	SPT35354	0
SPT35355	SPT35356	0.011
SPT35355	SPT35357	0.1
SPT35355	SPT35360	0.012
SPT35355	SPT35365	0
SPT35355	SPT35366	0
SPT35355	SPT35368	0
SPT35355	SPT35369	0.003
SPT35355	SPT35370	0
SPT35355	SPT35373	0.024
SPT35355	SPT35377	0
SPT35355	SPT35378	0.025
SPT35355	SPT35379	0.056
SPT35355	SPT35382	0
SPT35355	SPT35384	0.001
SPT35355	SPT35390	0.003
SPT35355	SPT35407	0
SPT35355	SPT35410	0.005
SPT35355	SPT35414	0
SPT35355	SPT35417	0
SPT35355	SPT35418	0
SPT35355	SPT35419	0
SPT35355	SPT35423	0.002
SPT35355	SPT35436	0
SPT35355	SPT35444	0
SPT35355	SPT35316	0
SPT35355	SPT35331	0.066
SPT35355	SPT35339	0.142
SPT35355	SPT35364	0
SPT35355	SPT35372	0.008
SPT35355	SPT35405	0
SPT35355	SPT35424	0.004
SPT35355	SPT35427	0
SPT35355	SPT35437	0
SPT35355	SPT35440	0.01
SPT35355	SPT35467	0
SPT35355	SPT35468	0
SPT35355	SPT35470	0
SPT35355	SPT35472	0
SPT35355	SPT35475	0
SPT35355	SPT35476	0
SPT35355	SPT35485	0
SPT35355	SPT35499	0
SPT35355	SPT35780	0
SPT35420	SPT35502	0
SPT35420	SPT35412	0
SPT35420	SPT35446	0.01
SPT35420	SPT35450	0
SPT35420	SPT35474	0
SPT35420	SPT35503	0.001
SPT35420	SPT35571	0
SPT35420	SPT35575	0
SPT35420	SPT35592	0
SPT35420	SPT35766	0
SPT35420	SPT35500	0.003
SPT35420	SPT35508	0
SPT35420	SPT35313	0
SPT35420	SPT35328	0
SPT35420	SPT35330	0
SPT35420	SPT35362	0
SPT35420	SPT35430	0.001
SPT35420	SPT35431	0.011
SPT35420	SPT35453	0.315
SPT35420	SPT35317	0
SPT35420	SPT35318	0
SPT35420	SPT35320	0
SPT35420	SPT35321	0
SPT35420	SPT35322	0
SPT35420	SPT35333	0.012
SPT35420	SPT35341	0
SPT35420	SPT35342	0
SPT35420	SPT35346	0
SPT35420	SPT35347	0
SPT35420	SPT35352	0.005
SPT35420	SPT35361	0
SPT35420	SPT35363	0.007
SPT35420	SPT35389	0
SPT35420	SPT35425	0.003
SPT35420	SPT35435	0
SPT35420	SPT35443	0.014
SPT35420	SPT35447	0
SPT35420	SPT35448	0
SPT35420	SPT35449	0
SPT35420	SPT35458	0
SPT35420	SPT35461	0
SPT35420	SPT35462	0
SPT35420	SPT35463	0.011
SPT35420	SPT35487	0
SPT35420	SPT35501	0.007
SPT35420	SPT35510	0.009
SPT35420	SPT35511	0
SPT35420	SPT35514	0
SPT35420	SPT35515	0
SPT35420	SPT35516	0
SPT35420	SPT35517	0
SPT35420	SPT35518	0.007
SPT35420	SPT35519	0.003
SPT35420	SPT35520	0.006
SPT35420	SPT35521	0
SPT35420	SPT35522	0.006
SPT35420	SPT35523	0
SPT35420	SPT35524	0.01
SPT35420	SPT35525	0
SPT35420	SPT35526	0
SPT35420	SPT35529	0
SPT35420	SPT35532	0
SPT35420	SPT35537	0
SPT35420	SPT35538	0
SPT35420	SPT35541	0.012
SPT35420	SPT35543	0
SPT35420	SPT35544	0.012
SPT35420	SPT35546	0
SPT35420	SPT35547	0
SPT35420	SPT35552	0
SPT35420	SPT35553	0.023
SPT35420	SPT35557	0.002
SPT35420	SPT35561	0
SPT35420	SPT35563	0.005
SPT35420	SPT35567	0.008
SPT35420	SPT35576	0.003
SPT35420	SPT35577	0
SPT35420	SPT35580	0.005
SPT35420	SPT35583	0.01
SPT35420	SPT35584	0
SPT35420	SPT35585	0
SPT35420	SPT35302	0
SPT35420	SPT35303	0
SPT35420	SPT35304	0
SPT35420	SPT35306	0
SPT35420	SPT35308	0
SPT35420	SPT35310	0.001
SPT35420	SPT35315	0
SPT35420	SPT35325	0.008
SPT35420	SPT35336	0.005
SPT35420	SPT35337	0
SPT35420	SPT35338	0
SPT35420	SPT35340	0
SPT35420	SPT35348	0
SPT35420	SPT35349	0
SPT35420	SPT35354	0
SPT35420	SPT35356	0
SPT35420	SPT35357	0
SPT35420	SPT35360	0
SPT35420	SPT35365	0
SPT35420	SPT35366	0
SPT35420	SPT35368	0
SPT35420	SPT35369	0
SPT35420	SPT35370	0
SPT35420	SPT35373	0
SPT35420	SPT35377	0
SPT35420	SPT35378	0.013
SPT35420	SPT35379	0
SPT35420	SPT35382	0
SPT35420	SPT35384	0.005
SPT35420	SPT35390	0
SPT35420	SPT35407	0
SPT35420	SPT35410	0.005
SPT35420	SPT35414	0.008
SPT35420	SPT35417	0.011
SPT35420	SPT35418	0
SPT35420	SPT35419	0
SPT35420	SPT35423	0.011
SPT35420	SPT35436	0.026
SPT35420	SPT35444	0
SPT35420	SPT35316	0
SPT35420	SPT35331	0
SPT35420	SPT35339	0
SPT35420	SPT35364	0
SPT35420	SPT35372	0
SPT35420	SPT35405	0
SPT35420	SPT35424	0.01
SPT35420	SPT35427	0
SPT35420	SPT35437	0
SPT35420	SPT35440	0.001
SPT35420	SPT35467	0
SPT35420	SPT35468	0
SPT35420	SPT35470	0
SPT35420	SPT35472	0
SPT35420	SPT35475	0
SPT35420	SPT35476	0
SPT35420	SPT35485	0
SPT35420	SPT35499	0.001
SPT35420	SPT35780	0.013
SPT35502	SPT35412	0.009
SPT35502	SPT35446	0.002
SPT35502	SPT35450	0
SPT35502	SPT35474	0
SPT35502	SPT35503	0
SPT35502	SPT35571	0
SPT35502	SPT35575	0
SPT35502	SPT35592	0
SPT35502	SPT35766	0
