p1	p2	hmm
SPT35447	SPT35583	0.2309
SPT35447	SPT35584	0.23169
SPT35447	SPT35585	0.24169
SPT35447	SPT35458	0.24778
SPT35447	SPT35500	0.23623
SPT35447	SPT35322	0.23852
SPT35447	SPT35377	0.23616
SPT35447	SPT35511	0.24406
SPT35447	SPT35323	0.2234
SPT35447	SPT35461	0.23432
SPT35447	SPT35462	0.22864
SPT35447	SPT35463	0.23132
SPT35447	SPT35341	0.22668
SPT35447	SPT35368	0.2209
SPT35447	SPT35378	0.23625
SPT35447	SPT35552	0.22785
SPT35447	SPT35551	0.22405
SPT35447	SPT35459	0.23737
SPT35447	SPT35474	0.23058
SPT35447	SPT35514	0.23292
SPT35447	SPT35519	0.22525
SPT35447	SPT35526	0.24647
SPT35447	SPT35501	0.22197
SPT35447	SPT35681	0.22619
SPT35447	SPT35467	0.24471
SPT35447	SPT35469	0.2371
SPT35447	SPT35470	0.2271
SPT35447	SPT35468	0.2275
SPT35447	SPT35471	0.22656
SPT35447	SPT35379	0.23553
SPT35447	SPT35472	0.21839
SPT35447	SPT35529	0.24565
SPT35447	SPT35517	0.23121
SPT35447	SPT35516	0.23586
SPT35447	SPT35360	0.23645
SPT35447	SPT35515	0.2349
SPT35447	SPT35518	0.23925
SPT35447	SPT35475	0.24523
SPT35447	SPT35520	0.23145
SPT35447	SPT35324	0.22964
SPT35447	SPT35476	0.23347
SPT35447	SPT35485	0.22605
SPT35447	SPT35389	0.23604
SPT35447	SPT35487	0.23203
SPT35447	SPT35369	0.23406
SPT35447	SPT35370	0.22338
SPT35447	SPT35382	0.22945
SPT35447	SPT35521	0.22647
SPT35447	SPT35553	0.23752
SPT35447	SPT35532	0.23323
SPT35447	SPT35384	0.22971
SPT35447	SPT35522	0.23825
SPT35447	SPT35361	0.24177
SPT35447	SPT35342	0.22225
SPT35447	SPT35556	0.23575
SPT35447	SPT35557	0.21864
SPT35447	SPT35328	0.23528
SPT35447	SPT35592	0.2251
SPT35447	SPT35435	0.22733
SPT35447	SPT35304	0.23102
SPT35447	SPT35390	0.24153
SPT35447	SPT35436	0.23425
SPT35447	SPT35580	0.22786
SPT35447	SPT35538	0.24455
SPT35447	SPT35537	0.24525
SPT35447	SPT35320	0.23587
SPT35447	SPT35541	0.22796
SPT35447	SPT35673	0.22979
SPT35447	SPT35502	0.2299
SPT35447	SPT35330	0.22816
SPT35447	SPT35546	0.23531
SPT35447	SPT35547	0.2291
SPT35447	SPT35544	0.2232
SPT35447	SPT35362	0.23039
SPT35447	SPT35499	0.23583
SPT35447	SPT35336	0.23193
SPT35447	SPT35577	0.22386
SPT35447	SPT35325	0.23059
SPT35447	SPT35331	0.23026
SPT35447	SPT35337	0.22988
SPT35447	SPT35306	0.23757
SPT35447	SPT35407	0.23849
SPT35447	SPT35346	0.23384
SPT35447	SPT35405	0.24061
SPT35447	SPT35410	0.24476
SPT35447	SPT35575	0.2383
SPT35447	SPT35576	0.23061
SPT35447	SPT35766	0.23448
SPT35447	SPT35347	0.23671
SPT35447	SPT35412	0.23215
SPT35447	SPT35414	0.23496
SPT35447	SPT35348	0.23516
SPT35447	SPT35417	0.23275
SPT35447	SPT35571	0.22711
SPT35447	SPT35349	0.23083
SPT35447	SPT35351	0.22482
SPT35447	SPT35418	0.23049
SPT35447	SPT35419	0.23662
SPT35447	SPT35566	0.23633
SPT35447	SPT35567	0.22903
SPT35447	SPT35420	0.21169
SPT35447	SPT35423	0.22608
SPT35447	SPT35564	0.24688
SPT35447	SPT35352	0.22629
SPT35447	SPT35424	0.22718
SPT35447	SPT35357	0.23899
SPT35447	SPT35437	0.23065
SPT35447	SPT35563	0.23202
SPT35447	SPT35308	0.23354
SPT35447	SPT35425	0.22449
SPT35447	SPT35440	0.23823
SPT35447	SPT35354	0.2363
SPT35447	SPT35309	0.23009
SPT35447	SPT35310	0.23448
SPT35447	SPT35355	0.22734
SPT35447	SPT35332	0.23222
SPT35447	SPT35333	0.23285
SPT35447	SPT35561	0.22923
SPT35447	SPT35363	0.2169
SPT35447	SPT35427	0.22926
SPT35447	SPT35752	0.22357
SPT35447	SPT35430	0.22867
SPT35447	SPT35431	0.22899
SPT35447	SPT35313	0.2226
SPT35447	SPT35780	0.2152
SPT35447	SPT35315	0.22877
SPT35447	SPT35316	0.22327
SPT35447	SPT35317	0.23761
SPT35447	SPT35334	0.22545
SPT35447	SPT35543	0.23872
SPT35444	SPT35446	0.23109
SPT35444	SPT35503	0.22318
SPT35444	SPT35302	0.22941
SPT35444	SPT35508	0.24514
SPT35444	SPT35365	0.22984
SPT35444	SPT35449	0.24445
SPT35444	SPT35523	0.24168
SPT35444	SPT35338	0.2302
SPT35444	SPT35339	0.24108
SPT35444	SPT35372	0.23813
SPT35444	SPT35373	0.23178
SPT35444	SPT35587	0.24296
SPT35444	SPT35303	0.23211
SPT35444	SPT35356	0.22036
SPT35444	SPT35448	0.24266
SPT35444	SPT35364	0.22304
SPT35444	SPT35366	0.23518
SPT35444	SPT35524	0.22452
SPT35444	SPT35321	0.23824
SPT35444	SPT35374	0.23637
SPT35444	SPT35318	0.22417
SPT35444	SPT35453	0.23943
SPT35444	SPT35509	0.22798
SPT35444	SPT35450	0.23161
SPT35444	SPT35525	0.24096
SPT35444	SPT35510	0.25158
SPT35444	SPT35340	0.22904
SPT35444	SPT35583	0.23311
SPT35444	SPT35584	0.23929
SPT35444	SPT35585	0.24793
SPT35444	SPT35458	0.2443
SPT35444	SPT35500	0.22916
SPT35444	SPT35322	0.22375
SPT35444	SPT35377	0.22829
SPT35444	SPT35511	0.23456
