p1	p2	hmm
SPT35366	SPT35332	0.22587
SPT35366	SPT35333	0.2349
SPT35366	SPT35561	0.24344
SPT35366	SPT35363	0.22749
SPT35366	SPT35427	0.2319
SPT35366	SPT35752	0.2358
SPT35366	SPT35430	0.22119
SPT35366	SPT35431	0.23886
SPT35366	SPT35313	0.22105
SPT35366	SPT35780	0.23016
SPT35366	SPT35315	0.25646
SPT35366	SPT35316	0.34672
SPT35366	SPT35317	0.2344
SPT35366	SPT35334	0.22746
SPT35366	SPT35543	0.23879
SPT35524	SPT35321	0.23815
SPT35524	SPT35374	0.223
SPT35524	SPT35318	0.23392
SPT35524	SPT35453	0.23134
SPT35524	SPT35509	0.31652
SPT35524	SPT35450	0.23079
SPT35524	SPT35525	0.24103
SPT35524	SPT35510	0.22884
SPT35524	SPT35340	0.23312
SPT35524	SPT35583	0.22713
SPT35524	SPT35584	0.21779
SPT35524	SPT35585	0.23437
SPT35524	SPT35458	0.2394
SPT35524	SPT35500	0.23057
SPT35524	SPT35322	0.22606
SPT35524	SPT35377	0.23235
SPT35524	SPT35511	0.24208
SPT35524	SPT35323	0.23131
SPT35524	SPT35461	0.23039
SPT35524	SPT35462	0.23368
SPT35524	SPT35463	0.23427
SPT35524	SPT35341	0.23102
SPT35524	SPT35368	0.22698
SPT35524	SPT35378	0.23821
SPT35524	SPT35552	0.22993
SPT35524	SPT35551	0.23052
SPT35524	SPT35459	0.23791
SPT35524	SPT35474	0.2371
SPT35524	SPT35514	0.23607
SPT35524	SPT35519	0.2288
SPT35524	SPT35526	0.24194
SPT35524	SPT35501	0.23291
SPT35524	SPT35681	0.22107
SPT35524	SPT35467	0.24056
SPT35524	SPT35469	0.24151
SPT35524	SPT35470	0.23571
SPT35524	SPT35468	0.23966
SPT35524	SPT35471	0.24019
SPT35524	SPT35379	0.21996
SPT35524	SPT35472	0.22693
SPT35524	SPT35529	0.24278
SPT35524	SPT35517	0.23448
SPT35524	SPT35516	0.23834
SPT35524	SPT35360	0.23458
SPT35524	SPT35515	0.23651
SPT35524	SPT35518	0.22444
SPT35524	SPT35475	0.2412
SPT35524	SPT35520	0.21861
SPT35524	SPT35324	0.23119
SPT35524	SPT35476	0.24172
SPT35524	SPT35485	0.22888
SPT35524	SPT35389	0.23222
SPT35524	SPT35487	0.23274
SPT35524	SPT35369	0.23883
SPT35524	SPT35370	0.23542
SPT35524	SPT35382	0.23058
SPT35524	SPT35521	0.22569
SPT35524	SPT35553	0.22501
SPT35524	SPT35532	0.22638
SPT35524	SPT35384	0.22778
SPT35524	SPT35522	0.23656
SPT35524	SPT35361	0.22583
SPT35524	SPT35342	0.21527
SPT35524	SPT35556	0.22235
SPT35524	SPT35557	0.22493
SPT35524	SPT35328	0.22018
SPT35524	SPT35592	0.22658
SPT35524	SPT35435	0.24267
SPT35524	SPT35304	0.22893
SPT35524	SPT35390	0.22404
SPT35524	SPT35436	0.22738
SPT35524	SPT35580	0.23604
SPT35524	SPT35538	0.21229
SPT35524	SPT35537	0.21433
SPT35524	SPT35320	0.21648
SPT35524	SPT35541	0.22878
SPT35524	SPT35673	0.24079
SPT35524	SPT35502	0.22602
SPT35524	SPT35330	0.22699
SPT35524	SPT35546	0.22261
SPT35524	SPT35547	0.21985
SPT35524	SPT35544	0.22325
SPT35524	SPT35362	0.21101
SPT35524	SPT35499	0.22832
SPT35524	SPT35336	0.22849
SPT35524	SPT35577	0.22077
SPT35524	SPT35325	0.23
SPT35524	SPT35331	0.21876
SPT35524	SPT35337	0.22981
SPT35524	SPT35306	0.222
SPT35524	SPT35407	0.2309
SPT35524	SPT35346	0.23371
SPT35524	SPT35405	0.22941
SPT35524	SPT35410	0.21434
SPT35524	SPT35575	0.21404
SPT35524	SPT35576	0.22815
SPT35524	SPT35766	0.22626
SPT35524	SPT35347	0.23527
SPT35524	SPT35412	0.23109
SPT35524	SPT35414	0.22846
SPT35524	SPT35348	0.22184
SPT35524	SPT35417	0.23018
SPT35524	SPT35571	0.22489
SPT35524	SPT35349	0.22433
SPT35524	SPT35351	0.22083
SPT35524	SPT35418	0.23555
SPT35524	SPT35419	0.23053
SPT35524	SPT35566	0.23291
SPT35524	SPT35567	0.21683
SPT35524	SPT35420	0.21979
SPT35524	SPT35423	0.21966
SPT35524	SPT35564	0.23584
SPT35524	SPT35352	0.22047
SPT35524	SPT35424	0.22779
SPT35524	SPT35357	0.22578
SPT35524	SPT35437	0.22714
SPT35524	SPT35563	0.21654
SPT35524	SPT35308	0.22856
SPT35524	SPT35425	0.23117
SPT35524	SPT35440	0.22673
SPT35524	SPT35354	0.23339
SPT35524	SPT35309	0.22184
SPT35524	SPT35310	0.22162
SPT35524	SPT35355	0.21945
SPT35524	SPT35332	0.22931000000000001
SPT35524	SPT35333	0.2399
SPT35524	SPT35561	0.22863
SPT35524	SPT35363	0.22141
SPT35524	SPT35427	0.23403
SPT35524	SPT35752	0.22206
SPT35524	SPT35430	0.22622
SPT35524	SPT35431	0.23258
SPT35524	SPT35313	0.23083
SPT35524	SPT35780	0.23226
SPT35524	SPT35315	0.21897
SPT35524	SPT35316	0.22988
SPT35524	SPT35317	0.22754
SPT35524	SPT35334	0.23047
SPT35524	SPT35543	0.22912
SPT35321	SPT35374	0.2233
SPT35321	SPT35318	0.23593
SPT35321	SPT35453	0.23891
SPT35321	SPT35509	0.23958
SPT35321	SPT35450	0.23935
SPT35321	SPT35525	0.24756
SPT35321	SPT35510	0.23888
SPT35321	SPT35340	0.24248
SPT35321	SPT35583	0.23382
SPT35321	SPT35584	0.23597
SPT35321	SPT35585	0.25362
SPT35321	SPT35458	0.26429
SPT35321	SPT35500	0.24278
SPT35321	SPT35322	0.25011
SPT35321	SPT35377	0.24132
SPT35321	SPT35511	0.24601
SPT35321	SPT35323	0.42837
SPT35321	SPT35461	0.23598
SPT35321	SPT35462	0.24635
SPT35321	SPT35463	0.24317
SPT35321	SPT35341	0.22678
SPT35321	SPT35368	0.24905
SPT35321	SPT35378	0.23943
SPT35321	SPT35552	0.23395
SPT35321	SPT35551	0.24143
SPT35321	SPT35459	0.25149
SPT35321	SPT35474	0.24246
SPT35321	SPT35514	0.2472
SPT35321	SPT35519	0.24037
SPT35321	SPT35526	0.24704
SPT35321	SPT35501	0.23345
SPT35321	SPT35681	0.23519
SPT35321	SPT35467	0.24624
SPT35321	SPT35469	0.24586
SPT35321	SPT35470	0.24441
SPT35321	SPT35468	0.24582
SPT35321	SPT35471	0.24173
SPT35321	SPT35379	0.24889
SPT35321	SPT35472	0.22906
SPT35321	SPT35529	0.24859
SPT35321	SPT35517	0.24177
SPT35321	SPT35516	0.24377
SPT35321	SPT35360	0.23054
SPT35321	SPT35515	0.24358
SPT35321	SPT35518	0.23305
SPT35321	SPT35475	0.24617
SPT35321	SPT35520	0.23907
SPT35321	SPT35324	0.24879
SPT35321	SPT35476	0.2459
SPT35321	SPT35485	0.23012
SPT35321	SPT35389	0.24155
SPT35321	SPT35487	0.24229
SPT35321	SPT35369	0.2373
SPT35321	SPT35370	0.24134
SPT35321	SPT35382	0.23546
SPT35321	SPT35521	0.23404
SPT35321	SPT35553	0.23726
SPT35321	SPT35532	0.25596
SPT35321	SPT35384	0.23863
SPT35321	SPT35522	0.23307
SPT35321	SPT35361	0.23154
SPT35321	SPT35342	0.2636
SPT35321	SPT35556	0.24975
SPT35321	SPT35557	0.23681
SPT35321	SPT35328	0.2234
SPT35321	SPT35592	0.22746
SPT35321	SPT35435	0.25599
SPT35321	SPT35304	0.23872
SPT35321	SPT35390	0.24182
SPT35321	SPT35436	0.23325
SPT35321	SPT35580	0.24809
SPT35321	SPT35538	0.22966
SPT35321	SPT35537	0.23278
SPT35321	SPT35320	0.244
SPT35321	SPT35541	0.24346
SPT35321	SPT35673	0.23444
SPT35321	SPT35502	0.23797
SPT35321	SPT35330	0.38631
SPT35321	SPT35546	0.23354
SPT35321	SPT35547	0.23479
SPT35321	SPT35544	0.24604
SPT35321	SPT35362	0.23379
SPT35321	SPT35499	0.24598
SPT35321	SPT35336	0.23915
SPT35321	SPT35577	0.23456
SPT35321	SPT35325	0.23706
SPT35321	SPT35331	0.24662
SPT35321	SPT35337	0.23048
SPT35321	SPT35306	0.23566
SPT35321	SPT35407	0.24971
SPT35321	SPT35346	0.31796
SPT35321	SPT35405	0.25211
SPT35321	SPT35410	0.24314
SPT35321	SPT35575	0.23053
SPT35321	SPT35576	0.2395
SPT35321	SPT35766	0.23452
SPT35321	SPT35347	0.23088
SPT35321	SPT35412	0.23709
SPT35321	SPT35414	0.24437999999999999
SPT35321	SPT35348	0.24791
SPT35321	SPT35417	0.24174
SPT35321	SPT35571	0.23754
SPT35321	SPT35349	0.23527
SPT35321	SPT35351	0.24427
SPT35321	SPT35418	0.26231
SPT35321	SPT35419	0.24844
SPT35321	SPT35566	0.25273
SPT35321	SPT35567	0.23589
SPT35321	SPT35420	0.22697
SPT35321	SPT35423	0.23633
SPT35321	SPT35564	0.24506
SPT35321	SPT35352	0.23936
SPT35321	SPT35424	0.23449
SPT35321	SPT35357	0.24967
SPT35321	SPT35437	0.24647
SPT35321	SPT35563	0.23815
SPT35321	SPT35308	0.23806
SPT35321	SPT35425	0.2361
SPT35321	SPT35440	0.2199
SPT35321	SPT35354	0.23516
SPT35321	SPT35309	0.23355
SPT35321	SPT35310	0.2303
SPT35321	SPT35355	0.23427
SPT35321	SPT35332	0.2407
SPT35321	SPT35333	0.23472
SPT35321	SPT35561	0.22589
SPT35321	SPT35363	0.23778
SPT35321	SPT35427	0.21961
SPT35321	SPT35752	0.22181
SPT35321	SPT35430	0.23595
SPT35321	SPT35431	0.22981
SPT35321	SPT35313	0.42752
SPT35321	SPT35780	0.24089
SPT35321	SPT35315	0.23331
SPT35321	SPT35316	0.24147
SPT35321	SPT35317	0.23995
SPT35321	SPT35334	0.23943
SPT35321	SPT35543	0.24798
SPT35374	SPT35318	0.23322
SPT35374	SPT35453	0.23286
SPT35374	SPT35509	0.21773
SPT35374	SPT35450	0.21848
SPT35374	SPT35525	0.24391
SPT35374	SPT35510	0.23086
SPT35374	SPT35340	0.23519
SPT35374	SPT35583	0.22717
SPT35374	SPT35584	0.23546
SPT35374	SPT35585	0.24503
SPT35374	SPT35458	0.25651
SPT35374	SPT35500	0.24361
SPT35374	SPT35322	0.23786
SPT35374	SPT35377	0.23532
SPT35374	SPT35511	0.24502
SPT35374	SPT35323	0.23881
SPT35374	SPT35461	0.23037
SPT35374	SPT35462	0.24201
SPT35374	SPT35463	0.24642
SPT35374	SPT35341	0.25228
SPT35374	SPT35368	0.24059
SPT35374	SPT35378	0.23636
SPT35374	SPT35552	0.24042
SPT35374	SPT35551	0.23292
SPT35374	SPT35459	0.24507
SPT35374	SPT35474	0.24505
SPT35374	SPT35514	0.23332
SPT35374	SPT35519	0.22184
SPT35374	SPT35526	0.24498
SPT35374	SPT35501	0.22181
SPT35374	SPT35681	0.22771
SPT35374	SPT35467	0.24471
SPT35374	SPT35469	0.23408
SPT35374	SPT35470	0.248
SPT35374	SPT35468	0.23266
SPT35374	SPT35471	0.229
SPT35374	SPT35379	0.24152
SPT35374	SPT35472	0.23591
SPT35374	SPT35529	0.24338
SPT35374	SPT35517	0.22431
SPT35374	SPT35516	0.23015
SPT35374	SPT35360	0.24315
SPT35374	SPT35515	0.22593
SPT35374	SPT35518	0.23079
SPT35374	SPT35475	0.24522
SPT35374	SPT35520	0.22769
SPT35374	SPT35324	0.23913
SPT35374	SPT35476	0.2269
SPT35374	SPT35485	0.23111
SPT35374	SPT35389	0.23524
SPT35374	SPT35487	0.22673
SPT35374	SPT35369	0.24799
SPT35374	SPT35370	0.24429
SPT35374	SPT35382	0.23767
SPT35374	SPT35521	0.22581
SPT35374	SPT35553	0.23391
SPT35374	SPT35532	0.23474
SPT35374	SPT35384	0.23575
SPT35374	SPT35522	0.231
SPT35374	SPT35361	0.24381
SPT35374	SPT35342	0.24008
SPT35374	SPT35556	0.2202
SPT35374	SPT35557	0.24448
SPT35374	SPT35328	0.23204
SPT35374	SPT35592	0.22883
SPT35374	SPT35435	0.23467
SPT35374	SPT35304	0.22764
SPT35374	SPT35390	0.2331
SPT35374	SPT35436	0.2227
SPT35374	SPT35580	0.23141
SPT35374	SPT35538	0.2282
SPT35374	SPT35537	0.22677
SPT35374	SPT35320	0.24047
SPT35374	SPT35541	0.24408
SPT35374	SPT35673	0.22134
SPT35374	SPT35502	0.23575
SPT35374	SPT35330	0.23775
SPT35374	SPT35546	0.23236
SPT35374	SPT35547	0.23767
SPT35374	SPT35544	0.22505
SPT35374	SPT35362	0.24475
SPT35374	SPT35499	0.23102
SPT35374	SPT35336	0.23356
SPT35374	SPT35577	0.22666
SPT35374	SPT35325	0.22171
SPT35374	SPT35331	0.2427
SPT35374	SPT35337	0.24597
SPT35374	SPT35306	0.23148
SPT35374	SPT35407	0.24429
SPT35374	SPT35346	0.23385
SPT35374	SPT35405	0.23605
SPT35374	SPT35410	0.24013
SPT35374	SPT35575	0.23354
SPT35374	SPT35576	0.2375
SPT35374	SPT35766	0.23701
SPT35374	SPT35347	0.24333
SPT35374	SPT35412	0.22527
SPT35374	SPT35414	0.23481
SPT35374	SPT35348	0.24365
SPT35374	SPT35417	0.23297
SPT35374	SPT35571	0.23317
SPT35374	SPT35349	0.25069
SPT35374	SPT35351	0.22674
SPT35374	SPT35418	0.22783
SPT35374	SPT35419	0.23328
SPT35374	SPT35566	0.2257
SPT35374	SPT35567	0.2117
SPT35374	SPT35420	0.22072
SPT35374	SPT35423	0.23209
SPT35374	SPT35564	0.21956
SPT35374	SPT35352	0.22597
SPT35374	SPT35424	0.2249
SPT35374	SPT35357	0.2379
SPT35374	SPT35437	0.22693
SPT35374	SPT35563	0.21257
SPT35374	SPT35308	0.22493
SPT35374	SPT35425	0.23149
SPT35374	SPT35440	0.22562
SPT35374	SPT35354	0.23101
SPT35374	SPT35309	0.23828
SPT35374	SPT35310	0.23713
SPT35374	SPT35355	0.24251
SPT35374	SPT35332	0.22556
SPT35374	SPT35333	0.22651
SPT35374	SPT35561	0.23619
SPT35374	SPT35363	0.23356
SPT35374	SPT35427	0.23384
SPT35374	SPT35752	0.23036
SPT35374	SPT35430	0.22947
SPT35374	SPT35431	0.23407
SPT35374	SPT35313	0.23946
SPT35374	SPT35780	0.22917
SPT35374	SPT35315	0.24047
SPT35374	SPT35316	0.24244
SPT35374	SPT35317	0.23414
SPT35374	SPT35334	0.24327
SPT35374	SPT35543	0.22906
SPT35318	SPT35453	0.23676
SPT35318	SPT35509	0.23351
SPT35318	SPT35450	0.23399
SPT35318	SPT35525	0.24873
SPT35318	SPT35510	0.23736
SPT35318	SPT35340	0.23382
SPT35318	SPT35583	0.24325
SPT35318	SPT35584	0.2375
SPT35318	SPT35585	0.26307
SPT35318	SPT35458	0.25019
SPT35318	SPT35500	0.23369
SPT35318	SPT35322	0.2396
SPT35318	SPT35377	0.23523
SPT35318	SPT35511	0.24944
SPT35318	SPT35323	0.24202
SPT35318	SPT35461	0.23605
SPT35318	SPT35462	0.24511
SPT35318	SPT35463	0.26035
SPT35318	SPT35341	0.25258
SPT35318	SPT35368	0.23939
SPT35318	SPT35378	0.2321
SPT35318	SPT35552	0.23727
SPT35318	SPT35551	0.2246
SPT35318	SPT35459	0.24119
SPT35318	SPT35474	0.25093
SPT35318	SPT35514	0.23262
SPT35318	SPT35519	0.23871
SPT35318	SPT35526	0.25198
SPT35318	SPT35501	0.22029
SPT35318	SPT35681	0.23073
SPT35318	SPT35467	0.25164
SPT35318	SPT35469	0.23432
SPT35318	SPT35470	0.2529
SPT35318	SPT35468	0.23492
SPT35318	SPT35471	0.23967
SPT35318	SPT35379	0.23927
SPT35318	SPT35472	0.24246
SPT35318	SPT35529	0.24813
SPT35318	SPT35517	0.23753
SPT35318	SPT35516	0.23499
SPT35318	SPT35360	0.26165
SPT35318	SPT35515	0.22731
SPT35318	SPT35518	0.2318
SPT35318	SPT35475	0.25064
SPT35318	SPT35520	0.23378
SPT35318	SPT35324	0.26141
SPT35318	SPT35476	0.23788
SPT35318	SPT35485	0.23853
SPT35318	SPT35389	0.23465
SPT35318	SPT35487	0.23503
SPT35318	SPT35369	0.2437
SPT35318	SPT35370	0.37045
SPT35318	SPT35382	0.57963
SPT35318	SPT35521	0.22897
SPT35318	SPT35553	0.23925
SPT35318	SPT35532	0.23218
SPT35318	SPT35384	0.24501
SPT35318	SPT35522	0.24287
SPT35318	SPT35361	0.28786
SPT35318	SPT35342	0.23959
SPT35318	SPT35556	0.23761
SPT35318	SPT35557	0.23713
SPT35318	SPT35328	0.22366
SPT35318	SPT35592	0.24906
SPT35318	SPT35435	0.23342
SPT35318	SPT35304	0.24288
SPT35318	SPT35390	0.26324
SPT35318	SPT35436	0.2272
SPT35318	SPT35580	0.23345
SPT35318	SPT35538	0.22823
SPT35318	SPT35537	0.23296
SPT35318	SPT35320	0.23645
SPT35318	SPT35541	0.23506
SPT35318	SPT35673	0.22443
SPT35318	SPT35502	0.22738
SPT35318	SPT35330	0.24071
SPT35318	SPT35546	0.23704
SPT35318	SPT35547	0.24
SPT35318	SPT35544	0.23434
SPT35318	SPT35362	0.23803
SPT35318	SPT35499	0.23714
SPT35318	SPT35336	0.24462
SPT35318	SPT35577	0.2429
SPT35318	SPT35325	0.22223
SPT35318	SPT35331	0.2361
SPT35318	SPT35337	0.2646
SPT35318	SPT35306	0.24843
SPT35318	SPT35407	0.26014
SPT35318	SPT35346	0.26054
SPT35318	SPT35405	0.257
SPT35318	SPT35410	0.23352
SPT35318	SPT35575	0.23115
SPT35318	SPT35576	0.25937
SPT35318	SPT35766	0.24861
SPT35318	SPT35347	0.26182
SPT35318	SPT35412	0.23234
SPT35318	SPT35414	0.23707
SPT35318	SPT35348	0.25024
SPT35318	SPT35417	0.24038
SPT35318	SPT35571	0.22138
SPT35318	SPT35349	0.2271
SPT35318	SPT35351	0.23267
SPT35318	SPT35418	0.24473
SPT35318	SPT35419	0.25478
SPT35318	SPT35566	0.25397
SPT35318	SPT35567	0.22481
SPT35318	SPT35420	0.22835
SPT35318	SPT35423	0.22198
SPT35318	SPT35564	0.24361
SPT35318	SPT35352	0.22962
SPT35318	SPT35424	0.23596
SPT35318	SPT35357	0.23918
SPT35318	SPT35437	0.22521
SPT35318	SPT35563	0.22464
SPT35318	SPT35308	0.24452
SPT35318	SPT35425	0.23045
SPT35318	SPT35440	0.23392
SPT35318	SPT35354	0.61613
SPT35318	SPT35309	0.23301
SPT35318	SPT35310	0.23093
SPT35318	SPT35355	0.24979
SPT35318	SPT35332	0.22575
SPT35318	SPT35333	0.22534
SPT35318	SPT35561	0.25228
SPT35318	SPT35363	0.23064
SPT35318	SPT35427	0.22958
SPT35318	SPT35752	0.2318
SPT35318	SPT35430	0.22975
SPT35318	SPT35431	0.22775
SPT35318	SPT35313	0.24149
SPT35318	SPT35780	0.23747
SPT35318	SPT35315	0.24918
SPT35318	SPT35316	0.41562
SPT35318	SPT35317	0.23988
SPT35318	SPT35334	0.25877
SPT35318	SPT35543	0.24006
SPT35453	SPT35509	0.24002
SPT35453	SPT35450	0.23985
SPT35453	SPT35525	0.25174
SPT35453	SPT35510	0.2448
SPT35453	SPT35340	0.23522
SPT35453	SPT35583	0.23621
SPT35453	SPT35584	0.22977
SPT35453	SPT35585	0.25558
SPT35453	SPT35458	0.24726
SPT35453	SPT35500	0.24032
SPT35453	SPT35322	0.24222
SPT35453	SPT35377	0.23445
SPT35453	SPT35511	0.24743
SPT35453	SPT35323	0.23364
SPT35453	SPT35461	0.234
SPT35453	SPT35462	0.24845
SPT35453	SPT35463	0.24449
SPT35453	SPT35341	0.23346
SPT35453	SPT35368	0.2337
SPT35453	SPT35378	0.24582
SPT35453	SPT35552	0.23743
SPT35453	SPT35551	0.23243
SPT35453	SPT35459	0.23745
SPT35453	SPT35474	0.25345
SPT35453	SPT35514	0.23855
SPT35453	SPT35519	0.23955
SPT35453	SPT35526	0.24592
SPT35453	SPT35501	0.23643
SPT35453	SPT35681	0.22776
SPT35453	SPT35467	0.24436
SPT35453	SPT35469	0.23382
SPT35453	SPT35470	0.24996
SPT35453	SPT35468	0.2338
SPT35453	SPT35471	0.23765
SPT35453	SPT35379	0.24154
SPT35453	SPT35472	0.24827
SPT35453	SPT35529	0.24828
SPT35453	SPT35517	0.22187
SPT35453	SPT35516	0.22967
SPT35453	SPT35360	0.2439
SPT35453	SPT35515	0.2447
SPT35453	SPT35518	0.22219
SPT35453	SPT35475	0.24447
SPT35453	SPT35520	0.23118
SPT35453	SPT35324	0.23489
SPT35453	SPT35476	0.24133
SPT35453	SPT35485	0.22499
SPT35453	SPT35389	0.23475
SPT35453	SPT35487	0.23275
SPT35453	SPT35369	0.23927
SPT35453	SPT35370	0.24059
SPT35453	SPT35382	0.23638
SPT35453	SPT35521	0.2344
SPT35453	SPT35553	0.2406
SPT35453	SPT35532	0.23645
SPT35453	SPT35384	0.23579
SPT35453	SPT35522	0.23814
SPT35453	SPT35361	0.2378
SPT35453	SPT35342	0.23131
SPT35453	SPT35556	0.23369
SPT35453	SPT35557	0.23233
SPT35453	SPT35328	0.23217
SPT35453	SPT35592	0.23415
SPT35453	SPT35435	0.23475
SPT35453	SPT35304	0.23379
SPT35453	SPT35390	0.21716
SPT35453	SPT35436	0.24919
SPT35453	SPT35580	0.24275
SPT35453	SPT35538	0.23681
SPT35453	SPT35537	0.23524
SPT35453	SPT35320	0.23864
SPT35453	SPT35541	0.23491
SPT35453	SPT35673	0.24725
SPT35453	SPT35502	0.23088
SPT35453	SPT35330	0.24928
SPT35453	SPT35546	0.23618
SPT35453	SPT35547	0.23042
SPT35453	SPT35544	0.252
SPT35453	SPT35362	0.22646
SPT35453	SPT35499	0.24197
SPT35453	SPT35336	0.23681
SPT35453	SPT35577	0.23354
SPT35453	SPT35325	0.23601
SPT35453	SPT35331	0.23812
SPT35453	SPT35337	0.22753
SPT35453	SPT35306	0.24715
SPT35453	SPT35407	0.24585
SPT35453	SPT35346	0.23978
SPT35453	SPT35405	0.25671
SPT35453	SPT35410	0.23291
SPT35453	SPT35575	0.22606
SPT35453	SPT35576	0.24115
SPT35453	SPT35766	0.23762
SPT35453	SPT35347	0.24424
SPT35453	SPT35412	0.24564
SPT35453	SPT35414	0.24015
SPT35453	SPT35348	0.25875
SPT35453	SPT35417	0.23692
SPT35453	SPT35571	0.23424
SPT35453	SPT35349	0.23134
SPT35453	SPT35351	0.22753
SPT35453	SPT35418	0.23328
SPT35453	SPT35419	0.24987
SPT35453	SPT35566	0.24608
SPT35453	SPT35567	0.23331
SPT35453	SPT35420	0.25182
SPT35453	SPT35423	0.23377
SPT35453	SPT35564	0.24747
SPT35453	SPT35352	0.23442
SPT35453	SPT35424	0.2286
SPT35453	SPT35357	0.2418
SPT35453	SPT35437	0.23397
SPT35453	SPT35563	0.23238
SPT35453	SPT35308	0.23494
SPT35453	SPT35425	0.23458
SPT35453	SPT35440	0.25587
SPT35453	SPT35354	0.23452
SPT35453	SPT35309	0.23653
SPT35453	SPT35310	0.23825
SPT35453	SPT35355	0.23369
SPT35453	SPT35332	0.2325
SPT35453	SPT35333	0.23416
SPT35453	SPT35561	0.23901
SPT35453	SPT35363	0.23291
SPT35453	SPT35427	0.24457
SPT35453	SPT35752	0.24614
SPT35453	SPT35430	0.24417
SPT35453	SPT35431	0.24498
SPT35453	SPT35313	0.23509
SPT35453	SPT35780	0.25241
SPT35453	SPT35315	0.22457
SPT35453	SPT35316	0.2326
SPT35453	SPT35317	0.2338
SPT35453	SPT35334	0.22756
SPT35453	SPT35543	0.24056
SPT35509	SPT35450	0.22641
SPT35509	SPT35525	0.25226
SPT35509	SPT35510	0.23776
SPT35509	SPT35340	0.23021
SPT35509	SPT35583	0.23127
SPT35509	SPT35584	0.23317
SPT35509	SPT35585	0.24983
SPT35509	SPT35458	0.24612
SPT35509	SPT35500	0.23442
SPT35509	SPT35322	0.24001
SPT35509	SPT35377	0.23028
SPT35509	SPT35511	0.24823
SPT35509	SPT35323	0.23032
SPT35509	SPT35461	0.23047
SPT35509	SPT35462	0.2381
SPT35509	SPT35463	0.2409
SPT35509	SPT35341	0.23285
SPT35509	SPT35368	0.23456
SPT35509	SPT35378	0.23667
SPT35509	SPT35552	0.23717
SPT35509	SPT35551	0.23892
SPT35509	SPT35459	0.23683
SPT35509	SPT35474	0.23967
SPT35509	SPT35514	0.24996
SPT35509	SPT35519	0.24712
SPT35509	SPT35526	0.25054
SPT35509	SPT35501	0.22911
SPT35509	SPT35681	0.22832
SPT35509	SPT35467	0.2509
SPT35509	SPT35469	0.25593
SPT35509	SPT35470	0.23017
SPT35509	SPT35468	0.24286
SPT35509	SPT35471	0.25211
SPT35509	SPT35379	0.22762
SPT35509	SPT35472	0.23397
SPT35509	SPT35529	0.24935
SPT35509	SPT35517	0.25555
SPT35509	SPT35516	0.24309
SPT35509	SPT35360	0.22116
SPT35509	SPT35515	0.24473
SPT35509	SPT35518	0.23469
SPT35509	SPT35475	0.24963
SPT35509	SPT35520	0.23984
SPT35509	SPT35324	0.22239
SPT35509	SPT35476	0.25439
SPT35509	SPT35485	0.2313
SPT35509	SPT35389	0.23016
SPT35509	SPT35487	0.24786
SPT35509	SPT35369	0.22733
SPT35509	SPT35370	0.24497
SPT35509	SPT35382	0.23014
SPT35509	SPT35521	0.23278
SPT35509	SPT35553	0.22156
SPT35509	SPT35532	0.25047
SPT35509	SPT35384	0.23593
SPT35509	SPT35522	0.2332
SPT35509	SPT35361	0.23502
SPT35509	SPT35342	0.22551
SPT35509	SPT35556	0.2408
SPT35509	SPT35557	0.2321
SPT35509	SPT35328	0.2316
SPT35509	SPT35592	0.23572
SPT35509	SPT35435	0.24465
SPT35509	SPT35304	0.22264
SPT35509	SPT35390	0.22657
SPT35509	SPT35436	0.24367
SPT35509	SPT35580	0.23921
SPT35509	SPT35538	0.224
SPT35509	SPT35537	0.22501
SPT35509	SPT35320	0.24255
SPT35509	SPT35541	0.22646
SPT35509	SPT35673	0.23641
SPT35509	SPT35502	0.22245
SPT35509	SPT35330	0.23349
SPT35509	SPT35546	0.23111
SPT35509	SPT35547	0.22888
SPT35509	SPT35544	0.23424
SPT35509	SPT35362	0.24088
SPT35509	SPT35499	0.23549
SPT35509	SPT35336	0.23802
SPT35509	SPT35577	0.22431
SPT35509	SPT35325	0.2279
SPT35509	SPT35331	0.22865
SPT35509	SPT35337	0.24011
SPT35509	SPT35306	0.23337
SPT35509	SPT35407	0.24146
SPT35509	SPT35346	0.22043
SPT35509	SPT35405	0.2441
SPT35509	SPT35410	0.23414
SPT35509	SPT35575	0.22222
SPT35509	SPT35576	0.24282
SPT35509	SPT35766	0.23193
SPT35509	SPT35347	0.221
SPT35509	SPT35412	0.23417
SPT35509	SPT35414	0.22054
SPT35509	SPT35348	0.23323
SPT35509	SPT35417	0.22401
SPT35509	SPT35571	0.23399
SPT35509	SPT35349	0.24583
SPT35509	SPT35351	0.23829
SPT35509	SPT35418	0.23622
SPT35509	SPT35419	0.2386
SPT35509	SPT35566	0.23932
SPT35509	SPT35567	0.22624
SPT35509	SPT35420	0.22696
SPT35509	SPT35423	0.23102
SPT35509	SPT35564	0.23707
SPT35509	SPT35352	0.23963
SPT35509	SPT35424	0.231
SPT35509	SPT35357	0.23958
SPT35509	SPT35437	0.33705
SPT35509	SPT35563	0.22768
SPT35509	SPT35308	0.22452
SPT35509	SPT35425	0.23559
SPT35509	SPT35440	0.24239
SPT35509	SPT35354	0.22718
SPT35509	SPT35309	0.21602
SPT35509	SPT35310	0.2191
SPT35509	SPT35355	0.22219
SPT35509	SPT35332	0.22432
SPT35509	SPT35333	0.23404
SPT35509	SPT35561	0.24497
SPT35509	SPT35363	0.2324
