p1	p2	malecotf
SPT35446	SPT35356	0
SPT35446	SPT35448	0
SPT35446	SPT35364	0
SPT35446	SPT35366	0
SPT35446	SPT35524	0
SPT35446	SPT35321	0
SPT35446	SPT35374	0
SPT35446	SPT35318	0
SPT35446	SPT35453	0
SPT35446	SPT35509	0
SPT35446	SPT35450	0
SPT35446	SPT35525	0
SPT35446	SPT35510	0
SPT35446	SPT35340	0
SPT35446	SPT35583	0
SPT35446	SPT35584	0
SPT35446	SPT35585	0
SPT35446	SPT35458	0
SPT35446	SPT35500	0
SPT35446	SPT35322	0
SPT35446	SPT35377	0
SPT35446	SPT35511	0
SPT35446	SPT35323	0
SPT35446	SPT35461	0
SPT35446	SPT35462	0
SPT35446	SPT35463	0
SPT35446	SPT35341	0
SPT35446	SPT35368	0
SPT35446	SPT35378	0
SPT35446	SPT35552	0
SPT35446	SPT35551	0
SPT35446	SPT35459	0
SPT35446	SPT35474	0
SPT35446	SPT35514	0
SPT35446	SPT35519	0
SPT35446	SPT35526	0
SPT35446	SPT35501	0
SPT35446	SPT35681	0
SPT35446	SPT35467	0
SPT35446	SPT35469	0
SPT35446	SPT35470	0
SPT35446	SPT35468	0
SPT35446	SPT35471	0
SPT35446	SPT35379	0
SPT35446	SPT35472	0
SPT35446	SPT35529	0
SPT35446	SPT35517	0
SPT35446	SPT35516	0
SPT35446	SPT35360	0
SPT35446	SPT35515	0
SPT35446	SPT35518	0
SPT35446	SPT35475	0
SPT35446	SPT35520	0
SPT35446	SPT35324	0
SPT35446	SPT35476	0
SPT35446	SPT35485	0
SPT35446	SPT35389	0
SPT35446	SPT35487	0
SPT35446	SPT35369	0
SPT35446	SPT35370	0
SPT35446	SPT35382	0
SPT35446	SPT35521	0
SPT35446	SPT35553	0
SPT35446	SPT35532	0
SPT35446	SPT35384	0
SPT35446	SPT35522	0
SPT35446	SPT35361	0
SPT35446	SPT35342	0
SPT35446	SPT35556	0
SPT35446	SPT35557	0
SPT35446	SPT35328	0
SPT35446	SPT35592	0
SPT35446	SPT35435	0
SPT35446	SPT35304	0
SPT35446	SPT35390	0
SPT35446	SPT35436	0
SPT35446	SPT35580	0
SPT35446	SPT35538	0
SPT35446	SPT35537	0
SPT35446	SPT35320	0.02
SPT35446	SPT35541	0
SPT35446	SPT35673	0
SPT35446	SPT35502	0
SPT35446	SPT35330	0
SPT35446	SPT35546	0
SPT35446	SPT35547	0
SPT35446	SPT35544	0
SPT35446	SPT35362	0
SPT35446	SPT35499	0
SPT35446	SPT35336	0
SPT35446	SPT35577	0
SPT35446	SPT35325	0
SPT35446	SPT35331	0
SPT35446	SPT35337	0
SPT35446	SPT35306	0
