rate,method,aupr_overall_mean,aupr_overall_se,auroc_overall_mean,aupr_transmission_mean,aupr_transmission_se,auroc_transmission_mean,aupr_discrimination_mean,aupr_discrimination_se,auroc_discrimination_mean,spearman_mean,n_replicates
1e-09,IBD,0.00361869192721251,0.00111694397353217,0.5,0.000968406024823321,0.000138000735877897,0.5,0.286220104815636,0.0567316856846432,0.5,,5
1e-09,IBS,0.0168480124832386,0.00128449753855464,0.603775117552635,0.00301250131854077,0.000211530235163204,0.603194957866681,0.180523933269876,0.0100463874067596,0.50073739677458,0.76117703536935,5
1e-08,IBD,0.00869118874766555,0.000326538664705186,0.5,0.0014814643987434,0.00016786643593785,0.5,0.171307915426751,0.020580779113226,0.5,,5
1e-08,IBS,0.0219806841738073,0.00203749206866845,0.654777291302562,0.00426905470376615,0.000324120680501523,0.6784718923619,0.196473813914086,0.0168147304008704,0.535409902139977,0.967862034858013,5
1e-07,IBD,0.0456837167352889,0.0130175029877634,0.5,0.00505106004225046,0.00152509924847207,0.5,0.111174161890107,0.00749129472668634,0.5,,5
1e-07,IBS,0.293958303915704,0.062692684669181,0.793008241277064,0.194137007293991,0.0327769297935422,0.92168764942667,0.327719919701427,0.0208342285626091,0.779354329730878,0.890711749080267,5
1e-06,IBD,0.320942010088025,0.042777062704925,0.5,0.0355477872399522,0.00570411000186534,0.5,0.109969882974246,0.00531443357661239,0.5,,5
1e-06,IBS,0.595779393033117,0.0304351024354434,0.708797247107611,0.45501153802289,0.0095680071117691,0.85544762136646,0.492876804941077,0.00979143738630179,0.781115032505986,0.484548545529641,5
