relationship,n_pairs,n_detectable,detectability,mean_ibd,median_ibd,replicate,rate,rate_label
distant_ancestry,2842,2842,1,1,1,rep5,1e-09,1e09
transmission,1173,1171,0.998294970161978,0.999680683542509,1,rep5,1e-09,1e09
recent_ancestry,2261,2258,0.998673153471915,0.999762090725793,1,rep5,1e-09,1e09
unrelated,481613,311064,0.645879575509797,0.894345608840029,1,rep5,1e-08,1e08
transmission,1401,1361,0.971448965024982,0.995991547423261,1,rep5,1e-08,1e08
recent_ancestry,2163,1956,0.904299583911234,0.991750679489933,1,rep5,1e-08,1e08
distant_ancestry,4282,3124,0.729565623540402,0.95655680691471,1,rep5,1e-08,1e08
unrelated,415138,0,0,0.394800374304157,0.391619892923628,rep5,1e-07,1e07
transmission,1557,0,0,0.869474937401271,0.999946945545845,rep5,1e-07,1e07
distant_ancestry,9226,0,0,0.569630717797352,0.561526782356585,rep5,1e-07,1e07
recent_ancestry,4871,0,0,0.690467164407427,0.700766636862547,rep5,1e-07,1e07
unrelated,81099,0,0,0.0705712753059246,0.0601325425098814,rep5,1e-06,1e06
recent_ancestry,18564,0,0,0.134764152792846,0.111186531658685,rep5,1e-06,1e06
distant_ancestry,19022,0,0,0.0987100673620464,0.0812497756888887,rep5,1e-06,1e06
transmission,4050,0,0,0.315169838500431,0.236657194886175,rep5,1e-06,1e06
