k,n_transmission,n_ancestry,n_unrelated,prop_transmission,baseline_transmission,enrichment,replicate,rate,rate_label,method
50,50,0,0,1,0.0182495740072869,54.7957995951417,rep2,1e-06,1e06,IBS
100,100,0,0,1,0.0182495740072869,54.7957995951417,rep2,1e-06,1e06,IBS
5,0,0,5,0,0.000924435922895196,0,rep3,1e-09,1e09,IBD
10,0,0,10,0,0.000924435922895196,0,rep3,1e-09,1e09,IBD
25,0,0,25,0,0.000924435922895196,0,rep3,1e-09,1e09,IBD
50,0,0,50,0,0.000924435922895196,0,rep3,1e-09,1e09,IBD
100,0,0,100,0,0.000924435922895196,0,rep3,1e-09,1e09,IBD
5,0,0,5,0,0.00217817817817818,0,rep3,1e-09,1e09,IBS
10,0,0,10,0,0.00217817817817818,0,rep3,1e-09,1e09,IBS
25,0,2,23,0,0.00217817817817818,0,rep3,1e-09,1e09,IBS
50,0,4,46,0,0.00217817817817818,0,rep3,1e-09,1e09,IBS
100,0,8,92,0,0.00217817817817818,0,rep3,1e-09,1e09,IBS
5,0,0,5,0,0.00164499762169019,0,rep3,1e-08,1e08,IBD
10,0,0,10,0,0.00164499762169019,0,rep3,1e-08,1e08,IBD
25,0,0,25,0,0.00164499762169019,0,rep3,1e-08,1e08,IBD
50,0,0,50,0,0.00164499762169019,0,rep3,1e-08,1e08,IBD
100,0,0,100,0,0.00164499762169019,0,rep3,1e-08,1e08,IBD
5,0,1,4,0,0.00266800270466228,0,rep3,1e-08,1e08,IBS
10,0,1,9,0,0.00266800270466228,0,rep3,1e-08,1e08,IBS
25,0,1,24,0,0.00266800270466228,0,rep3,1e-08,1e08,IBS
50,0,1,49,0,0.00266800270466228,0,rep3,1e-08,1e08,IBS
100,0,1,99,0,0.00266800270466228,0,rep3,1e-08,1e08,IBS
5,0,0,5,0,0.00311662935727594,0,rep3,1e-07,1e07,IBD
10,0,0,10,0,0.00311662935727594,0,rep3,1e-07,1e07,IBD
25,0,1,24,0,0.00311662935727594,0,rep3,1e-07,1e07,IBD
50,0,1,49,0,0.00311662935727594,0,rep3,1e-07,1e07,IBD
100,0,1,99,0,0.00311662935727594,0,rep3,1e-07,1e07,IBD
5,1,4,0,0.2,0.00311662935727594,64.1718911917099,rep3,1e-07,1e07,IBS
10,4,6,0,0.4,0.00311662935727594,128.34378238342,rep3,1e-07,1e07,IBS
25,6,7,12,0.24,0.00311662935727594,77.0062694300518,rep3,1e-07,1e07,IBS
